store_id,hub,hub_global,degree,brand_volume,volume_hits,component_volume,component_stores,lon,lat,tier,store_brands,new_energy_related
88,0.985678763442116,11.061722734728727,2,806.3919659049368,1377.509901389168,74789.18816525312,6,120.3944527341899,36.13840257271817,T1,星途,True
60,1.0,11.016127056700144,4,60846.56351039098,60846.56351039098,60846.56351039098,1,120.4191052017919,36.09165180199828,T1,特斯拉中国|特斯拉（进口）,True
50,0.9241615887563336,10.887278306165385,3,8178.593988596271,11642.643005961576,130705.35535494724,5,120.4132110600187,36.16303805429059,T1,深蓝汽车,True
113,1.0,10.545448325679962,4,38003.0619219941,38003.0619219941,38003.0619219941,1,119.9670850556151,35.90115265453388,T1,广汽埃安,True
129,1.0,9.959780910031515,5,21157.159669127795,21157.159669127795,21157.159669127795,1,120.3854129960125,36.09450286332107,T1,零跑汽车,True
84,0.922247331851578,9.270178091245723,8,14265.446100706838,15251.515763690995,23194.80351775856,3,120.4338534918242,36.2421833095709,T1,北京越野|北京汽车|北汽新能源,True
59,1.0,9.036436902378805,4,8402.780157714027,8402.780157714027,8402.780157714027,1,120.4363567997888,36.20626284451407,T1,一汽红旗,True
106,1.0,8.694980591101524,2,5971.856639979788,5971.856639979788,5971.856639979788,1,120.0074263391183,35.85995642300459,T1,东风乘用车,True
112,1.0,7.9324361273673505,1,2785.2060964775887,2785.2060964775887,2785.2060964775887,1,119.9905701752068,35.89539829734763,T1,悦达起亚,True
47,1.0,7.690183418394782,3,2185.775620320427,2185.775620320427,2185.775620320427,1,120.4415445141089,36.17330029114753,T1,合众汽车,True
30,0.7071067811865476,7.678765257803261,4,13005.14575938275,13005.14575938275,52020.58303753101,2,120.1798729699021,36.01808203128125,T1,上汽通用别克,True
119,0.7071067811865476,7.678765257803261,4,13005.14575938275,13005.14575938275,52020.58303753101,2,120.5168861158752,36.88599884927292,T1,进口别克|上汽通用别克,True
35,0.7071067811865475,7.206208551021557,5,6666.07161663476,6666.07161663476,26664.28646653904,2,120.4337506358433,36.25108154954806,T1,领克,True
34,0.7071067811865475,7.206208551021557,5,6666.07161663476,6666.07161663476,26664.28646653904,2,120.3944527341899,36.13840257271817,T1,领克,True
108,1.0,6.933278539503256,3,1024.8517678396377,1024.8517678396377,1024.8517678396377,1,117.0522720504021,33.23415969480133,T1,广汽本田|广汽本田新能源,True
81,0.5773502691896257,6.859351740628461,12,16050.804019532216,16050.80401953222,144457.23617579,3,120.0073674102768,36.07872290602615,T1,上汽通用五菱,True
82,0.5773502691896257,6.859351740628461,12,16050.804019532216,16050.80401953222,144457.23617579,3,120.4500949452751,36.3680640648361,T1,上汽通用五菱|五菱工业,False
83,0.5773502691896257,6.859351740628461,12,16050.804019532216,16050.80401953222,144457.23617579,3,120.3963822944254,36.13509723158277,T1,上汽通用五菱,True
